OpenTime,Open,High,Low,Close,Volume,QuoteAssetVol,TakerbaseVol,TakerquoteVol
2021-01-13 00:00:00+07:00,34049.15,34375.51,32380.0,33818.5,27424.984325,910971342.8999457,13412.758948,445802957.7306153
2021-01-13 04:00:00+07:00,33818.5,35180.67,32800.0,34986.9,18746.308974,634646677.6677805,10107.566387,342431146.6487839
2021-01-13 08:00:00+07:00,34986.9,35250.0,34200.0,34385.48,21211.79171,736532256.7211046,10981.650541,381505833.52001363
2021-01-13 12:00:00+07:00,34385.48,35100.0,34017.0,34673.9,16102.347966,556172892.6701185,7996.448441,276326510.70660305
2021-01-13 16:00:00+07:00,34673.9,36188.0,34388.53,36002.25,17747.20155,627648534.0050272,9883.19663,349530353.41877556
2021-01-13 20:00:00+07:00,36002.24,37850.0,35704.21,37371.38,23245.280413,856904902.4556493,11599.417359,427275889.3471206
2021-01-14 00:00:00+07:00,37371.38,38172.22,37000.0,37045.13,16138.473791,606280563.1472309,8161.668104,306687174.37508386
2021-01-14 04:00:00+07:00,37045.13,38596.92,36701.23,38198.34,15764.35508,595513093.2190281,7904.183004,298793439.48172706
2021-01-14 08:00:00+07:00,38199.52,38786.1,37862.04,38365.86,13654.697529,523188981.5529691,6818.658179,261331821.428756
2021-01-14 12:00:00+07:00,38365.86,40100.0,37707.0,39546.01,25980.308922,1017238996.6485081,12413.210762,485983604.1554603
2021-01-14 16:00:00+07:00,39546.01,40000.0,39212.15,39876.98,14738.643826,583719454.1556658,7631.185703,302297553.2049164
2021-01-14 20:00:00+07:00,39876.97,39935.1,38259.25,39144.5,16673.910273,648885549.4216868,8335.56134,324349000.40405583
2021-01-15 00:00:00+07:00,39145.21,39747.76,38450.0,38700.0,12973.737042,508873334.29280525,6422.712893,251928480.86986524
2021-01-15 04:00:00+07:00,38700.0,38853.09,37554.94,38473.08,14317.810678,547253369.4873887,6639.763037,253786523.21509996
2021-01-15 08:00:00+07:00,38473.07,38780.0,37923.0,38108.88,11723.414644,449874935.84615916,5787.103888,222143495.50188205
2021-01-15 12:00:00+07:00,38108.87,38194.04,35258.0,35610.72,28829.424903,1064655138.9267429,14125.668358,521578171.4481011
