,OpenTime,Open,High,Low,Close,Volume,QuoteAssetVol,TakerbaseVol,TakerquoteVol,trend_ema_13,trend_ema_26,trend_ema_100,trend_sma_8,trend_sma_100,trend_adx,trend_adx_pos,trend_adx_neg,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff,trend_mass_index,trend_kst,trend_kst_sig,trend_kst_diff,trend_stc,momentum_rsi,momentum_stoch,momentum_stoch_signal,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,volume_obv,volume_fi,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,Close_min,Close_max,High_min,High_max,Low_min,Low_max
0,2021-01-13 00:00:00+07:00,34049.15,34375.51,32380.0,33818.5,27424.984325,910971342.8999456,13412.758948,445802957.7306153,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,27424.984325,,0.0,,,,,,0.0,0.0,,,,,,33818.5,,34375.51,,32380.0,
1,2021-01-13 04:00:00+07:00,33818.5,35180.67,32800.0,34986.9,18746.308974,634646677.6677805,10107.566387,342431146.6487839,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,46171.293299,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
2,2021-01-13 08:00:00+07:00,34986.9,35250.0,34200.0,34385.48,21211.79171,736532256.7211046,10981.650541,381505833.5200136,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,24959.501588999996,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
3,2021-01-13 12:00:00+07:00,34385.48,35100.0,34017.0,34673.9,16102.347966,556172892.6701185,7996.448441,276326510.70660305,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,41061.84955499999,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
4,2021-01-13 16:00:00+07:00,34673.9,36188.0,34388.53,36002.25,17747.20155,627648534.0050272,9883.19663,349530353.4187756,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,58809.05110499999,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
5,2021-01-13 20:00:00+07:00,36002.24,37850.0,35704.21,37371.38,23245.280413,856904902.4556493,11599.417359,427275889.3471206,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,82054.33151799999,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
6,2021-01-14 00:00:00+07:00,37371.38,38172.22,37000.0,37045.13,16138.473791,606280563.1472309,8161.668104,306687174.37508386,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,65915.857727,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
7,2021-01-14 04:00:00+07:00,37045.13,38596.92,36701.23,38198.34,15764.35508,595513093.2190281,7904.183004,298793439.48172706,,,,35810.235,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,81680.21280699999,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
8,2021-01-14 08:00:00+07:00,38199.52,38786.1,37862.04,38365.86,13654.697529,523188981.5529691,6818.658179,261331821.428756,,,,36378.655,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,95334.91033599999,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
9,2021-01-14 12:00:00+07:00,38365.86,40100.0,37707.0,39546.01,25980.308922,1017238996.648508,12413.210762,485983604.1554603,,,,36948.54375,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,121315.21925799998,,1683.9409999999996,,,,,,0.0,0.0,,,,,,,,,40100.0,,
10,2021-01-14 16:00:00+07:00,39546.01,40000.0,39212.15,39876.98,14738.643826,583719454.1556658,7631.185703,302297553.2049164,,,,37634.98125,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,136053.86308399998,,1594.3318999999995,,,,,,0.0,0.0,,,,,,,39876.98,,,,39212.15
11,2021-01-14 20:00:00+07:00,39876.97,39935.1,38259.25,39144.5,16673.910273,648885549.4216868,8335.56134,324349000.40405583,,,,38193.806249999994,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,119379.95281099998,,1602.4837099999993,,,,,,0.0,0.0,,,,,,,,,,,
12,2021-01-15 00:00:00+07:00,39145.21,39747.76,38450.0,38700.0,12973.737042,508873334.29280525,6422.712893,251928480.86986524,37483.99006922236,,,38531.024999999994,,0.0,0.0,0.0,84.61538461538461,7.6923076923076925,76.92307692307692,,,,,,,,,,,,,,,,106406.21576899997,,1572.0113389999995,,,,,,0.0,0.0,,,,,,,,,,,
13,2021-01-15 04:00:00+07:00,38700.0,38853.09,37554.94,38473.08,14317.810678,547253369.4873887,6639.763037,253786523.2151,37625.28863076203,,,38668.737499999996,,0.0,0.0,0.0,76.92307692307693,15.384615384615385,61.53846153846155,,,,,,,,,70.0676900556924,78.92590673575133,,,,,,92088.40509099998,6694413.768062464,1544.6252050999988,,,,,,0.0,0.0,,,,,,,,,,,
